x,y
0.1,2.1
0.2,2.19902
0.3,2.29706
0.4,2.39412
0.5,2.4902
0.6,2.5853
0.7,2.67942
0.8,2.77256
0.9,2.86472
1,2.9559
1.1,3.0461
1.2,3.13532
1.3,3.22356
1.4,3.31082
1.5,3.3971
1.6,3.4824
1.7,3.56672
1.8,3.65006
1.9,3.73242
2,3.8138
2.1,3.8942
2.2,3.97362
2.3,4.05206
2.4,4.12952
2.5,4.206
2.6,4.2815
2.7,4.35602
2.8,4.42956
2.9,4.50212
3,4.5737
3.1,4.6443
3.2,4.71392
3.3,4.78256
3.4,4.85022
3.5,4.9169
3.6,4.9826
3.7,5.04732
3.8,5.11106
3.9,5.17382
4,5.2356
4.1,5.2964
4.2,5.35622
4.3,5.41506
4.4,5.47292
4.5,5.5298
4.6,5.5857
4.7,5.64062
4.8,5.69456
4.9,5.74752
5,5.7995
5.1,5.8505
5.2,5.90052
5.3,5.94956
5.4,5.99762
5.5,6.0447
5.6,6.0908
5.7,6.13592
5.8,6.18006
5.9,6.22322
6,6.2654
6.1,6.3066
6.2,6.34682
6.3,6.38606
6.4,6.42432
6.5,6.4616
6.6,6.4979
6.7,6.53322
6.8,6.56756
6.9,6.60092
7,6.6333
7.1,6.6647
7.2,6.69512
7.3,6.72456
7.4,6.75302
7.5,6.7805
7.6,6.807
7.7,6.83252
7.8,6.85706
7.9,6.88062
8,6.9032
8.1,6.9248
8.2,6.94542
8.3,6.96506
8.4,6.98372
8.5,7.0014
8.6,7.0181
8.7,7.03382
8.8,7.04856
8.9,7.06232
9,7.0751
9.1,7.0869
9.2,7.09772
9.3,7.10756
9.4,7.11642
9.5,7.1243
9.6,7.1312
9.7,7.13712
9.8,7.14206
9.9,7.14602
10,7.149
10.1,7.151
10.2,7.15202
10.3,7.15206
10.4,7.15112
10.5,7.1492
10.6,7.1463
10.7,7.14242
10.8,7.13756
10.9,7.13172
11,7.1249
11.1,7.1171
11.2,7.10832
11.3,7.09856
11.4,7.08782
11.5,7.0761
11.6,7.0634
11.7,7.04972
11.8,7.03506
11.9,7.01942
12,7.0028
12.1,6.9852
12.2,6.96662
12.3,6.94706
12.4,6.92652
12.5,6.905
12.6,6.8825
12.7,6.85902
12.8,6.83456
12.9,6.80912
13,6.7827
13.1,6.7553
13.2,6.72692
13.3,6.69756
13.4,6.66722
13.5,6.6359
13.6,6.6036
13.7,6.57032
13.8,6.53606
13.9,6.50082
14,6.4646
14.1,6.4274
14.2,6.38922
14.3,6.35006
14.4,6.30992
14.5,6.2688
14.6,6.2267
14.7,6.18362
14.8,6.13956
14.9,6.09452
15,6.0485
15.1,6.0015
15.2,5.95352
15.3,5.90456
15.4,5.85462
15.5,5.8037
15.6,5.7518
15.7,5.69892
15.8,5.64506
15.9,5.59022
16,5.5344
16.1,5.4776
16.2,5.41982
16.3,5.36106
16.4,5.30132
16.5,5.2406
16.6,5.1789
16.7,5.11622
16.8,5.05256
16.9,4.98792
17,4.9223
17.1,4.8557
17.2,4.78812
17.3,4.71956
17.4,4.65002
17.5,4.5795
17.6,4.508
17.7,4.43552
17.8,4.36206
17.9,4.28762
18,4.2122
18.1,4.1358
18.2,4.05842
18.3,3.98006
18.4,3.90072
18.5,3.8204
18.6,3.7391
18.7,3.65682
18.8,3.57356
18.9,3.48932
19,3.4041
19.1,3.3179
19.2,3.23072
19.3,3.14256
19.4,3.05342
19.5,2.9633
19.6,2.8722
19.7,2.78012
19.8,2.68706
19.9,2.59302
20,2.498
20.1,2.402
20.2,2.30502
20.3,2.20706
20.4,2.10812
20.5,2.0082
20.6,1.9073
20.7,1.80542
20.8,1.70256
20.9,1.59872
21,1.4939
21.1,1.3881
21.2,1.28132
21.3,1.17356
21.4,1.06482
21.5,0.9551
21.6,0.8444
21.7,0.73272
21.8,0.62006
